Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,SalarySlab,AttritionFlag
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,"? 5,993.00",19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,46+,Medium,1
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,"? 5,130.00",24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,36-45,Medium,0
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,"? 2,090.00",2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,46+,Low,1
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,"? 2,909.00",23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,36-45,Low,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,"? 3,468.00",16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,26-35,Low,0
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,"? 3,068.00",11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,26-35,Low,0
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,"? 2,670.00",9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,26-35,Low,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,"? 2,693.00",13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,46+,Low,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,"? 9,526.00",8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,26-35,Medium,0
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,"? 5,237.00",16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,36-45,Medium,0
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,"? 2,426.00",16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,36-45,Low,0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,"? 4,193.00",12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,26-35,Low,0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,"? 2,911.00",15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,26-35,Low,0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,"? 2,661.00",8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,26-35,Low,0
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,"? 2,028.00",12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,26-35,Low,1
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,"? 9,980.00",10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,26-35,Medium,0
